document_id,tfidf_to_bert2bert_summary
16,"tergugat tergugat kpu untuk tidak melaksanakan sisa tahapan pemilu 2004 sejak putusan ini diucapkan dan melaksanakan tahapan pemilihan umum dari awal selama lebih kurang 2 tahun 4 bulan tujuh hari, seperti dikutip dari putusan ini."
17,"wakil presiden ma ruf amin mengusulkan agar depo pertamina di plumpang, jakut dipindah menjauhi permukiman penduduk pascaterbakarnya jumat malam kemarin. ma amin mengatakan bakal meminta agar obyek vital pemerintah lain yang lokasinya berdempetan dengan pemukiman warga untuk dievaluasi."
18,kpu tegas menolak putusan pn tersebut dan ajukan banding. kpu menghukum kpu untuk tidak melaksanakan sisa tahapan pemilu 2004 sejak putusan ini diucapkan dan melaksanakan tahapan pemilu dari awal selama lebih kurang 2 tahun 4 bulan 7 bulan.
19,kontak antara rabuka dengan wenda ini bisa merusak hubungan bilateral fiji - indonesia yang berdasarkan prinsip saling menghargai kedaulatan dan keutuhan wilayah. indonesia kecewa dengan fiji yang membagikan foto pertemuannya dengan pm fiji sitivani rabuka.
20,"namun tyong memvonis lepas nyi roro kidul palsu itu dari segala tuntutan. padahal jaksa menganggap siska terbukti melakukan hal sebagaimana dakwaan jpu, melanggar pasal 3 uu ri no kasus perobek dan pembuang pembuang al - quran."
21,"kpu siap menyelenggarakan pemilu sesuai jadwal, sesuai dengan jadwal. selain itu, kpu juga akan menempuh upaya hukum banding atas putusan pn jakpus yang menerima pengajuan gugatan partai prima atas kpu namun hal itu dibatasi oleh pengadilan negeri jakarta pusat."
22,menteri pariwisata dan ekonomi kreatif sandiaga uno menargetkan investasi us $ 100 juta dari sektor pariwisata di kawasan timur indonesia. dorongan untuk meningkatkan investasi juga diharapkan bisa dicapai lewat pemerataan pembangunan di tanah air.
23,"jika suatu negara kokoh berjalan sesuai uud 1945 dan seluruh peraturan pelaksanaan perundang - undangan, kehidupan tata pemerintahan negaranya akan berjalan baik. padahal, uu nomor 7 tahun 2017 tentang pemilu telah jelas mengatur sengketa yang berkaitan dengan partai politik dan peserta pemilu."
24,"perintah tersebut tertuang dalam putusan perdata yang diajukan partai prima dengan tergugat komisi pemilihan umum. selain penundaan, kpu juga menghukum kpu membayar ganti rugi materiil sebanyak rp 500 juta. kpu juga harus membayar ganti kerugian materiil."
25,"organisasi rumah petani nelayan nusantara ( rpnn ) diminta menggunakan anggaran kredit usaha rakyat ( kur ) sebagai dukungan bersama dalam meningkatkan produktivitas kami. menurut ketua rpnn, slamet, organisasinya dari berbagai kalangan hanya gagasan."
26,sekjen psi dea tunggaesti mengatakan gugatan dan putusan penundaan pemilu tersebut salah alamat. pn jakarta pusat tidak berwenang memerintahkan penundaan pemilu karena itu memang wewenang khusus yang hanya dimiliki kpu dengan alasan tertentu seperti kejadian bencana alam.
27,"kpk menyatakan telah mengetahui laporan mengenai adanya dugaan keterlibatan jaringan pencuci uang profesional dalam transaksi mantan pejabat ditjen pajak, rafael alun trisambodo. kpk akan fokus terlebih dahulu mencari tindak pidana korupsinya terlebih dahulu."
28,"kasus harta kekayaan pejabat tak wajar seperti yang dimiliki mantan kepala bagian umum kantor pajak wilayah jakarta selatan ii rafael alun trisambodo, dinilai karena lemahnya pengawasan terhadap illicit enrichment atau penambahan kekayaan pejabat secara tidak wajar."
29,"mustofa menyebut partai ummat mendukung penuh pemilu mendatang dilaksanakan sesuai jadwal yang telah ditetapkan kpu. putusan penundaan pemilu mendatang dinilai sebagai suatu keputusan yang konyol dalam putusannya, pn jakpus, menghukum kpu untuk tidak melaksanakan sisa tahapan pemilu."
30,prabowo menegaskan bahwa partai gerindra sudah mendeklarasikan dirinya sebagai calon presiden dalam pilpres mendatang. prabowo juga tolak berpasangan dengan anies baswedanprabowo pun mengaku menghormati keputusan politik masing - masing dalam menyongsong pemilu menteri mendatang.
31,"di tahun 2018, luas panenya sebesar 156. 779 ha dengan produksi 1, 50 juta ton, menjadikan neraca perdagangan tahun 2022 surplus rp 54, 46 miliar, tertinggi sepanjang sejarah republik indonesia."
32,"eko darmanto yang dijadwalkan pada pekan depan, selasa 7 maret 2023 di gedung merah putih kpk,. kpk akan memeriksa apakah ada atau tidak kesalahan dalam proses lhkpn ekoselain itu."
33,"saat ini pan lebih banyak diminati masyarakat indonesia karena diikuti dengan jumlah kader baru yang masuk pan. pan menjadi partai yang dapat menarik perhatian publik karena banyak diminati oleh masyarakat indonesia, hal tersebut lantaran diikuti dengan banyaknya kader baru."
34,pengamat politik adi prayitno membeberkan alasan di balik fenomena berpindahnya kader partai dalam jumlah banyak ke satu partai lainnya. parpol sering dianggap sebagai kendaraan ideologis untuk menegakkan dan memperjuangkan nilai - nilai politik tertentu.
35,"wakil ketua kpk periode 2015 - 2019, sri mulyani berencana menyisir regulasi yang berpotensi menimbulkan konflik kepentingan pegawai kemenkeu. dalam laporannya, kpk disorot publik dan presiden setelah kasus mario dandy satryo, putra mantan presiden abdurrahman wahid."
36,"menurut feri, dalam peraturan ma nomor 2 tahun 2019 pasal 10 dam pasal 11 telah diatur yurisdiksi pengadilan negeri dalam penanganan perkara perbuatan melanggar hukum ( pmh ). jika ada pihak yang mengajukan perkara pmh, maka pengadilan negeri bakal melimpahkannya ke ptun."
37,"menteri bumn erick thohir mengunjungi korban kebakaran depo pertamina plumpang, jakut, siang tadi, bersama wakil presiden ma ruf amin. banser sampai membentuk rantai manusia melingkari erick tholar untuk memberi jarak dengan masyarakat."
38,"pasangan anies - ahy cenderung lebih signifikan menang dari beberapa simulasi, baik simulasi 4 pasang, 3 pasang maupun 2 pasang. namun, andi mallarangeng mengatakan sosok cawapres diserahkan sepenuhnya pada anies."
39,"menurut laode muhammad syarief, lhkpn belum ada sistem red flag yang otomatis menandai harta kekayaan pejabat yang janggal. pasalnya, kekayaan pejabat membengkak karena tidak mencakup kenaikan nilai harta sehingga seringkali harta kekayaan teragal."
40,kasus dugaan suap penerimaan bintara di lingkungan polda jateng terungkap. lima personel polda jateng yang bertindak sebagai panitia seleksi ikut serta dalam operasi tangkap tangan ( ott ) yang dilakukan tim propam polri di yogyakarta jumat 3 maret 2023.
41,"pasangan anies - ahy cenderung lebih signifikan menang dari beberapa simulasi, baik simulasi 4 pasang, 3 pasang maupun 2 pasang. namun, andi mallarangeng mengatakan sosok cawapres diserahkan sepenuhnya pada anies."
42,"asisten ii bidang perekonomian kabupaten karawang, syahrul, berjanji akan melakukan tanam ulang benih padi secara gratis. adapun untuk lahan yang terdampak parahnya banjir, ia akan mengganti benih padi dengan mesin pompa air sebab, ia memahami hal ini bukan sesuatu yang mudah."
43,"menurut sekjen kementan, kasdi subagyono saat membuka sosialisasi dan workshop perizinan berusaha untuk menunjang kegiatan berusaha ( pb umku ) pupuk dan benih hortikultura, kamis ( 2 / 3 ) 2023."
44,"maruf amin membuka munas gapki xi di istana wapres jakarta. wapres berharap pengusaha sawit dapat meningkatkan program csr untuk kepentingan masyarakat yang lebih luas. saat ini ada 34. 000 ponpes di indonesia dengan jumlah santri tidak kurang dari 4, 76 juta orang."
45,"minat asn muda pindah ke ibu kota negara nusantara cukup tinggi justru banyak yang ingin ke sana, terutama anak - anak muda milenial. pemerintah telah bertemu 90 investor dari jepang untuk menanamkan modalnya."
46,deputi pencegahan dan monitoring kpk pahala nainggolan mengatakan saat itu kpk terhalang kewenangan. pahala mengatakan laporan ppatk pada 2012 lalu merupakan hasil analisis transaksi tahun 2003 - 2011 padahal yang bersangkutan baru wajib lapor tahun 2011.
47,"kapolri jenderal listyo sigit prabowo bertemu gubernur diy sri sultan hamengku buwono x di gedhong wilis, kompleks kepatihan, jumat 3 maret 2023. dalam pertemuan itu, kapolri banyak membahas situasi kamtibmas di wilayah yogyakarta."
48,"harapannya ada pemantauan risiko kesehatan, termasuk jika ada potensi risiko stunting pada bayi sejak dalam kandungan. bpjs kesehatan menjamin pemeriksaan kehamilan atau ante natal care ( anc ) baik di fktp maupun di rumah sakit sesuai indikasi medis serta sesuai sistem rujukan."
49,"sekitar 80 - an mahasiswa yang tergabung dalam aliansi mahasiswa resah ( amarah ) universitas brawijaya menolak pemberian gelar doktor honoris causa tersebut. mereka berorasi di dekat gedung samantha krida universitas brawijaya yang menjadi lokasi penganugerahan gelar pada jumat, 3 maret 2023."
